"Country","Date","Combustible.fuels","Hydro","Geothermal","Wind","Solar","Marine","Nuclear","Other.fuels.n.e.c."
"Belgium",2000,8545,1413,0,14,0,0,5713,0
"Belgium",2001,8348,1421,0,26,0,0,5738,0
"Belgium",2002,8338,1421,0,31,1,0,5761,0
"Belgium",2003,8366,1420,0,67,1,0,5761,0
"Belgium",2004,8365,1425,0,96,1,0,5761,0
"Belgium",2005,8713,1412,0,167,2,0,5802,0
"Belgium",2006,8807,1414,0,212,2,0,5825,0
"Belgium",2007,8842,1417,0,276,20,0,5825,0
"Belgium",2008,9128,1418,0,324,62,0,5825,1
"Belgium",2009,9472,1417,0,608,386,0,5902,0
"Belgium",2010,9522,1425,0,912,1006.6,0,5927,3
"Belgium",2011,10285,1426,0,1069,1978.6,0,5927,3
"Belgium",2012,9468,1427,0,1366.9,2646.6,0,5927,3
"Belgium",2013,8910,1426,0,1769,2901.6,0,5927,3
"Belgium",2014,8601,1428,0,1932.7,3015,0,5927,3
"Belgium",2015,8520,1419,0,2181.3,3131.6,0,5913,3
"Belgium",2016,8396,1416.1,0,2333.8,3328.8,0,5913,3
"Belgium",2017,8364.3,1414,0,2779.4,3620.6,0,5918,3
"Belgium",2018,8085.6,1414.8,0,3304.9,4000,0,5918,3
"Belgium",2019,8078.4,1411.1,0,3863.5,4636.6,0,5930,3
"Belgium",2020,8084.8,1412.8,0,4672.7,5572.8,0,5942,3
"Bulgaria",2000,5673,1880,0,0,0,0,3532,0
"Bulgaria",2001,7458,1705,0,0,0,0,3532,0
"Bulgaria",2002,6878,1948,0,0,0,0,2722,0
"Bulgaria",2003,6759,2515,0,0,0,0,2722,0
"Bulgaria",2004,6689,2848,0,1,0,0,2722,0
"Bulgaria",2005,6682,2848,0,8,0,0,2722,0
"Bulgaria",2006,6418,2848,0,27,0,0,2722,0
"Bulgaria",2007,4902,2876,0,30,0,0,1892,0
"Bulgaria",2008,4647,2984,0,114,0,0,1892,0
"Bulgaria",2009,4372,3001,0,333,2,0,1892,0
"Bulgaria",2010,4578,3048,0,488,25,0,1892,0
"Bulgaria",2011,4546,3108,0,541,154,0,1892,0
"Bulgaria",2012,4912,3181,0,677,922,0,1906,0
"Bulgaria",2013,4701,3203,0,683,1039,0,1982,0
"Bulgaria",2014,4470,3219,0,699,1029,0,1975,0
"Bulgaria",2015,3991,3219,0,699,1028,0,1975,0
"Bulgaria",2016,3822,3223,0,699,1030,0,1967,0
"Bulgaria",2017,3785.363,3371.55,0,698.39,1030.701,0,1967,0
"Bulgaria",2018,4220.403,3379,0,698.92,1033.058,0,2008,0
"Bulgaria",2019,4097.231,3378.35,0,703.12,1044.39,0,2006,0
"Bulgaria",2020,3806.456,3376.456,0,702.8,1100.211,0,2006,0
"Czechia",2000,11465,2097,0,1,0,0,1760,0
"Czechia",2001,11537,2145,0,1,0,0,1760,0
"Czechia",2002,11399,2145,0,6,0,0,2760,0
"Czechia",2003,11423,2149,0,11,0,0,3760,0
"Czechia",2004,11498,2160,0,16.5,0.413,0,3760,0
"Czechia",2005,11456,2167,0,22,0.586,0,3760,0
"Czechia",2006,11528,2163,0,43.5,0.841,0,3760,0
"Czechia",2007,11508,2171,0,113.8,3.961,0,3760,0
"Czechia",2008,11445,2176,0,150,39.5,0,3760,0
"Czechia",2009,11654,2184,0,193,464.6,0,3830,0
"Czechia",2010,12037,2196,0,213,1727,0,3900,0
